,Adverse Event,GroupBy,Count
86,Vomiting,LEUCADIA PHARMACEUTICALS,0
87,Vomiting,BIONPHARMA,0
88,Vomiting,VALU MERCHANDISERS COMPANY,0
89,Vomiting,FAMILY DOLLAR,0
90,Coagulopathy,RANBAXY,9
91,Coagulopathy,NOVARTIS,8
92,Coagulopathy,JOHNSON AND JOHNSON,13
93,Coagulopathy,AUROBINDO,4
94,Coagulopathy,APOTEX,7
95,Coagulopathy,VIIV,0
96,Coagulopathy,GLAXOSMITHKLINE,2
97,Coagulopathy,MALLINCKRODT,0
98,Coagulopathy,MYLAN,3
99,Coagulopathy,PERRIGO,1
100,Coagulopathy,B BRAUN,0
101,Coagulopathy,FDA-CTU,0
102,Coagulopathy,FRESENIUS KABI,0
103,Coagulopathy,BAXTER,0
104,Coagulopathy,GRANULES INDIA,1
105,Coagulopathy,ASPIRO PHARMA,0
106,Coagulopathy,LEO PHARM,0
107,Coagulopathy,EMCURE,0
108,Coagulopathy,DEXCEL,0
109,Coagulopathy,TARO,0
110,Coagulopathy,MARKSANS,0
111,Coagulopathy,RISING PHARMACEUTICALS,0
112,Coagulopathy,ZYDUS PHARM,0
113,Coagulopathy,PRINSTON PHARMACEUTICAL,0
114,Coagulopathy,CIPLA,0
115,Coagulopathy,TEVA,0
116,Coagulopathy,LEUCADIA PHARMACEUTICALS,0
117,Coagulopathy,BIONPHARMA,0
118,Coagulopathy,VALU MERCHANDISERS COMPANY,0
119,Coagulopathy,FAMILY DOLLAR,0
120,Coma,RANBAXY,12
121,Coma,NOVARTIS,24
122,Coma,JOHNSON AND JOHNSON,19
123,Coma,AUROBINDO,13
124,Coma,APOTEX,14
125,Coma,VIIV,0
126,Coma,GLAXOSMITHKLINE,0
127,Coma,MALLINCKRODT,0
128,Coma,MYLAN,9
129,Coma,PERRIGO,2
130,Coma,B BRAUN,4
131,Coma,FDA-CTU,0
132,Coma,FRESENIUS KABI,3
133,Coma,BAXTER,0
134,Coma,GRANULES INDIA,2
135,Coma,ASPIRO PHARMA,1
136,Coma,LEO PHARM,0
137,Coma,EMCURE,0
138,Coma,DEXCEL,0
139,Coma,TARO,0
140,Coma,MARKSANS,0
141,Coma,RISING PHARMACEUTICALS,0
142,Coma,ZYDUS PHARM,0
143,Coma,PRINSTON PHARMACEUTICAL,0
144,Coma,CIPLA,0
145,Coma,TEVA,0
146,Coma,LEUCADIA PHARMACEUTICALS,0
147,Coma,BIONPHARMA,0
148,Coma,VALU MERCHANDISERS COMPANY,0
149,Coma,FAMILY DOLLAR,0
150,Hepatitis toxic,RANBAXY,1
151,Hepatitis toxic,NOVARTIS,2
152,Hepatitis toxic,JOHNSON AND JOHNSON,0
153,Hepatitis toxic,AUROBINDO,3
154,Hepatitis toxic,APOTEX,0
155,Hepatitis toxic,VIIV,0
156,Hepatitis toxic,GLAXOSMITHKLINE,0
157,Hepatitis toxic,MALLINCKRODT,0
158,Hepatitis toxic,MYLAN,1
159,Hepatitis toxic,PERRIGO,0
160,Hepatitis toxic,B BRAUN,0
161,Hepatitis toxic,FDA-CTU,0
162,Hepatitis toxic,FRESENIUS KABI,1
163,Hepatitis toxic,BAXTER,0
164,Hepatitis toxic,GRANULES INDIA,0
165,Hepatitis toxic,ASPIRO PHARMA,0
166,Hepatitis toxic,LEO PHARM,0
167,Hepatitis toxic,EMCURE,0
168,Hepatitis toxic,DEXCEL,0
169,Hepatitis toxic,TARO,0
170,Hepatitis toxic,MARKSANS,0
171,Hepatitis toxic,RISING PHARMACEUTICALS,0
172,Hepatitis toxic,ZYDUS PHARM,0
173,Hepatitis toxic,PRINSTON PHARMACEUTICAL,0
174,Hepatitis toxic,CIPLA,0
175,Hepatitis toxic,TEVA,0
176,Hepatitis toxic,LEUCADIA PHARMACEUTICALS,0
177,Hepatitis toxic,BIONPHARMA,0
178,Hepatitis toxic,VALU MERCHANDISERS COMPANY,0
179,Hepatitis toxic,FAMILY DOLLAR,0
180,Metabolic acidosis,RANBAXY,17
181,Metabolic acidosis,NOVARTIS,15
182,Metabolic acidosis,JOHNSON AND JOHNSON,31
183,Metabolic acidosis,AUROBINDO,21
184,Metabolic acidosis,APOTEX,13
185,Metabolic acidosis,VIIV,0
186,Metabolic acidosis,GLAXOSMITHKLINE,3
187,Metabolic acidosis,MALLINCKRODT,1
188,Metabolic acidosis,MYLAN,12
189,Metabolic acidosis,PERRIGO,15
190,Metabolic acidosis,B BRAUN,2
191,Metabolic acidosis,FDA-CTU,0
192,Metabolic acidosis,FRESENIUS KABI,4
193,Metabolic acidosis,BAXTER,1
194,Metabolic acidosis,GRANULES INDIA,6
195,Metabolic acidosis,ASPIRO PHARMA,0
196,Metabolic acidosis,LEO PHARM,0
197,Metabolic acidosis,EMCURE,2
198,Metabolic acidosis,DEXCEL,0
199,Metabolic acidosis,TARO,0
200,Metabolic acidosis,MARKSANS,0
201,Metabolic acidosis,RISING PHARMACEUTICALS,3
202,Metabolic acidosis,ZYDUS PHARM,2
203,Metabolic acidosis,PRINSTON PHARMACEUTICAL,0
204,Metabolic acidosis,CIPLA,0
205,Metabolic acidosis,TEVA,0
206,Metabolic acidosis,LEUCADIA PHARMACEUTICALS,0
207,Metabolic acidosis,BIONPHARMA,0
208,Metabolic acidosis,VALU MERCHANDISERS COMPANY,0
209,Metabolic acidosis,FAMILY DOLLAR,0
210,Overdose,RANBAXY,41
211,Overdose,NOVARTIS,28
212,Overdose,JOHNSON AND JOHNSON,85
213,Overdose,AUROBINDO,59
214,Overdose,APOTEX,40
215,Overdose,VIIV,0
216,Overdose,GLAXOSMITHKLINE,5
217,Overdose,MALLINCKRODT,2
218,Overdose,MYLAN,44
219,Overdose,PERRIGO,36
220,Overdose,B BRAUN,3
221,Overdose,FDA-CTU,2
222,Overdose,FRESENIUS KABI,8
223,Overdose,BAXTER,3
224,Overdose,GRANULES INDIA,8
225,Overdose,ASPIRO PHARMA,3
226,Overdose,LEO PHARM,0
227,Overdose,EMCURE,3
228,Overdose,DEXCEL,0
229,Overdose,TARO,1
230,Overdose,MARKSANS,0
231,Overdose,RISING PHARMACEUTICALS,3
232,Overdose,ZYDUS PHARM,1
233,Overdose,PRINSTON PHARMACEUTICAL,1
234,Overdose,CIPLA,0
235,Overdose,TEVA,0
236,Overdose,LEUCADIA PHARMACEUTICALS,0
237,Overdose,BIONPHARMA,0
238,Overdose,VALU MERCHANDISERS COMPANY,0
239,Overdose,FAMILY DOLLAR,0
240,Rhabdomyolysis,RANBAXY,10
241,Rhabdomyolysis,NOVARTIS,7
242,Rhabdomyolysis,JOHNSON AND JOHNSON,4
243,Rhabdomyolysis,AUROBINDO,6
244,Rhabdomyolysis,APOTEX,3
245,Rhabdomyolysis,VIIV,0
246,Rhabdomyolysis,GLAXOSMITHKLINE,0
247,Rhabdomyolysis,MALLINCKRODT,0
248,Rhabdomyolysis,MYLAN,3
249,Rhabdomyolysis,PERRIGO,2
250,Rhabdomyolysis,B BRAUN,0
251,Rhabdomyolysis,FDA-CTU,0
252,Rhabdomyolysis,FRESENIUS KABI,0
253,Rhabdomyolysis,BAXTER,0
254,Rhabdomyolysis,GRANULES INDIA,0
255,Rhabdomyolysis,ASPIRO PHARMA,0
256,Rhabdomyolysis,LEO PHARM,0
257,Rhabdomyolysis,EMCURE,0
258,Rhabdomyolysis,DEXCEL,0
259,Rhabdomyolysis,TARO,0
260,Rhabdomyolysis,MARKSANS,0
261,Rhabdomyolysis,RISING PHARMACEUTICALS,0
262,Rhabdomyolysis,ZYDUS PHARM,0
263,Rhabdomyolysis,PRINSTON PHARMACEUTICAL,0
264,Rhabdomyolysis,CIPLA,0
265,Rhabdomyolysis,TEVA,0
266,Rhabdomyolysis,LEUCADIA PHARMACEUTICALS,0
267,Rhabdomyolysis,BIONPHARMA,0
268,Rhabdomyolysis,VALU MERCHANDISERS COMPANY,0
269,Rhabdomyolysis,FAMILY DOLLAR,0
270,Drug-induced liver injury,RANBAXY,5
271,Drug-induced liver injury,NOVARTIS,5
272,Drug-induced liver injury,JOHNSON AND JOHNSON,37
273,Drug-induced liver injury,AUROBINDO,15
274,Drug-induced liver injury,APOTEX,10
275,Drug-induced liver injury,VIIV,0
276,Drug-induced liver injury,GLAXOSMITHKLINE,4
277,Drug-induced liver injury,MALLINCKRODT,1
278,Drug-induced liver injury,MYLAN,18
279,Drug-induced liver injury,PERRIGO,6
280,Drug-induced liver injury,B BRAUN,2
281,Drug-induced liver injury,FDA-CTU,0
282,Drug-induced liver injury,FRESENIUS KABI,4
283,Drug-induced liver injury,BAXTER,2
284,Drug-induced liver injury,GRANULES INDIA,1
285,Drug-induced liver injury,ASPIRO PHARMA,0
286,Drug-induced liver injury,LEO PHARM,0
287,Drug-induced liver injury,EMCURE,9
288,Drug-induced liver injury,DEXCEL,0
289,Drug-induced liver injury,TARO,0
290,Drug-induced liver injury,MARKSANS,0
291,Drug-induced liver injury,RISING PHARMACEUTICALS,0
292,Drug-induced liver injury,ZYDUS PHARM,0
293,Drug-induced liver injury,PRINSTON PHARMACEUTICAL,0
294,Drug-induced liver injury,CIPLA,0
295,Drug-induced liver injury,TEVA,0
296,Drug-induced liver injury,LEUCADIA PHARMACEUTICALS,0
297,Drug-induced liver injury,BIONPHARMA,0
298,Drug-induced liver injury,VALU MERCHANDISERS COMPANY,0
299,Drug-induced liver injury,FAMILY DOLLAR,0
300,Intentional overdose,RANBAXY,18
301,Intentional overdose,NOVARTIS,48
302,Intentional overdose,JOHNSON AND JOHNSON,67
303,Intentional overdose,AUROBINDO,84
304,Intentional overdose,APOTEX,1
305,Intentional overdose,VIIV,0
306,Intentional overdose,GLAXOSMITHKLINE,8
307,Intentional overdose,MALLINCKRODT,0
308,Intentional overdose,MYLAN,50
309,Intentional overdose,PERRIGO,41
310,Intentional overdose,B BRAUN,12
311,Intentional overdose,FDA-CTU,2
312,Intentional overdose,FRESENIUS KABI,4
313,Intentional overdose,BAXTER,0
314,Intentional overdose,GRANULES INDIA,3
315,Intentional overdose,ASPIRO PHARMA,0
316,Intentional overdose,LEO PHARM,0
317,Intentional overdose,EMCURE,0
318,Intentional overdose,DEXCEL,0
319,Intentional overdose,TARO,0
320,Intentional overdose,MARKSANS,0
321,Intentional overdose,RISING PHARMACEUTICALS,2
322,Intentional overdose,ZYDUS PHARM,0
323,Intentional overdose,PRINSTON PHARMACEUTICAL,0
324,Intentional overdose,CIPLA,0
325,Intentional overdose,TEVA,0
326,Intentional overdose,LEUCADIA PHARMACEUTICALS,0
327,Intentional overdose,BIONPHARMA,0
328,Intentional overdose,VALU MERCHANDISERS COMPANY,0
329,Intentional overdose,FAMILY DOLLAR,0
330,Suicide attempt,RANBAXY,35
331,Suicide attempt,NOVARTIS,45
332,Suicide attempt,JOHNSON AND JOHNSON,28
333,Suicide attempt,AUROBINDO,48
334,Suicide attempt,APOTEX,1
335,Suicide attempt,VIIV,0
336,Suicide attempt,GLAXOSMITHKLINE,7
337,Suicide attempt,MALLINCKRODT,0
338,Suicide attempt,MYLAN,56
339,Suicide attempt,PERRIGO,3
340,Suicide attempt,B BRAUN,3
341,Suicide attempt,FDA-CTU,0
342,Suicide attempt,FRESENIUS KABI,3
343,Suicide attempt,BAXTER,0
344,Suicide attempt,GRANULES INDIA,0
345,Suicide attempt,ASPIRO PHARMA,0
346,Suicide attempt,LEO PHARM,0
347,Suicide attempt,EMCURE,0
348,Suicide attempt,DEXCEL,0
349,Suicide attempt,TARO,0
350,Suicide attempt,MARKSANS,0
351,Suicide attempt,RISING PHARMACEUTICALS,0
352,Suicide attempt,ZYDUS PHARM,0
353,Suicide attempt,PRINSTON PHARMACEUTICAL,0
354,Suicide attempt,CIPLA,0
355,Suicide attempt,TEVA,0
356,Suicide attempt,LEUCADIA PHARMACEUTICALS,0
357,Suicide attempt,BIONPHARMA,0
358,Suicide attempt,VALU MERCHANDISERS COMPANY,0
359,Suicide attempt,FAMILY DOLLAR,0
360,Acute hepatic failure,RANBAXY,21
361,Acute hepatic failure,NOVARTIS,12
362,Acute hepatic failure,JOHNSON AND JOHNSON,37
363,Acute hepatic failure,AUROBINDO,16
364,Acute hepatic failure,APOTEX,21
365,Acute hepatic failure,VIIV,0
366,Acute hepatic failure,GLAXOSMITHKLINE,2
367,Acute hepatic failure,MALLINCKRODT,0
368,Acute hepatic failure,MYLAN,17
369,Acute hepatic failure,PERRIGO,13
370,Acute hepatic failure,B BRAUN,2
371,Acute hepatic failure,FDA-CTU,0
372,Acute hepatic failure,FRESENIUS KABI,8
373,Acute hepatic failure,BAXTER,1
374,Acute hepatic failure,GRANULES INDIA,4
375,Acute hepatic failure,ASPIRO PHARMA,2
376,Acute hepatic failure,LEO PHARM,0
377,Acute hepatic failure,EMCURE,0
378,Acute hepatic failure,DEXCEL,0
379,Acute hepatic failure,TARO,0
380,Acute hepatic failure,MARKSANS,0
381,Acute hepatic failure,RISING PHARMACEUTICALS,2
382,Acute hepatic failure,ZYDUS PHARM,1
383,Acute hepatic failure,PRINSTON PHARMACEUTICAL,0
384,Acute hepatic failure,CIPLA,0
385,Acute hepatic failure,TEVA,0
386,Acute hepatic failure,LEUCADIA PHARMACEUTICALS,0
387,Acute hepatic failure,BIONPHARMA,0
388,Acute hepatic failure,VALU MERCHANDISERS COMPANY,0
389,Acute hepatic failure,FAMILY DOLLAR,0
390,Cytomegalovirus infection,RANBAXY,0
391,Cytomegalovirus infection,NOVARTIS,0
392,Cytomegalovirus infection,JOHNSON AND JOHNSON,0
393,Cytomegalovirus infection,AUROBINDO,0
394,Cytomegalovirus infection,APOTEX,0
395,Cytomegalovirus infection,VIIV,0
396,Cytomegalovirus infection,GLAXOSMITHKLINE,0
397,Cytomegalovirus infection,MALLINCKRODT,0
398,Cytomegalovirus infection,MYLAN,0
399,Cytomegalovirus infection,PERRIGO,1
400,Cytomegalovirus infection,B BRAUN,0
401,Cytomegalovirus infection,FDA-CTU,0
402,Cytomegalovirus infection,FRESENIUS KABI,0
403,Cytomegalovirus infection,BAXTER,0
404,Cytomegalovirus infection,GRANULES INDIA,0
405,Cytomegalovirus infection,ASPIRO PHARMA,0
406,Cytomegalovirus infection,LEO PHARM,0
407,Cytomegalovirus infection,EMCURE,0
408,Cytomegalovirus infection,DEXCEL,0
409,Cytomegalovirus infection,TARO,0
410,Cytomegalovirus infection,MARKSANS,0
411,Cytomegalovirus infection,RISING PHARMACEUTICALS,0
412,Cytomegalovirus infection,ZYDUS PHARM,0
413,Cytomegalovirus infection,PRINSTON PHARMACEUTICAL,0
414,Cytomegalovirus infection,CIPLA,0
415,Cytomegalovirus infection,TEVA,0
416,Cytomegalovirus infection,LEUCADIA PHARMACEUTICALS,0
417,Cytomegalovirus infection,BIONPHARMA,0
418,Cytomegalovirus infection,VALU MERCHANDISERS COMPANY,0
419,Cytomegalovirus infection,FAMILY DOLLAR,0
420,Haemorrhage intracranial,RANBAXY,0
421,Haemorrhage intracranial,NOVARTIS,0
422,Haemorrhage intracranial,JOHNSON AND JOHNSON,0
423,Haemorrhage intracranial,AUROBINDO,0
424,Haemorrhage intracranial,APOTEX,0
425,Haemorrhage intracranial,VIIV,0
426,Haemorrhage intracranial,GLAXOSMITHKLINE,0
427,Haemorrhage intracranial,MALLINCKRODT,0
428,Haemorrhage intracranial,MYLAN,0
429,Haemorrhage intracranial,PERRIGO,1
430,Haemorrhage intracranial,B BRAUN,0
431,Haemorrhage intracranial,FDA-CTU,0
432,Haemorrhage intracranial,FRESENIUS KABI,0
433,Haemorrhage intracranial,BAXTER,0
434,Haemorrhage intracranial,GRANULES INDIA,0
435,Haemorrhage intracranial,ASPIRO PHARMA,0
436,Haemorrhage intracranial,LEO PHARM,0
437,Haemorrhage intracranial,EMCURE,0
438,Haemorrhage intracranial,DEXCEL,0
439,Haemorrhage intracranial,TARO,0
440,Haemorrhage intracranial,MARKSANS,0
441,Haemorrhage intracranial,RISING PHARMACEUTICALS,0
442,Haemorrhage intracranial,ZYDUS PHARM,0
443,Haemorrhage intracranial,PRINSTON PHARMACEUTICAL,0
444,Haemorrhage intracranial,CIPLA,0
445,Haemorrhage intracranial,TEVA,0
446,Haemorrhage intracranial,LEUCADIA PHARMACEUTICALS,0
447,Haemorrhage intracranial,BIONPHARMA,0
448,Haemorrhage intracranial,VALU MERCHANDISERS COMPANY,0
449,Haemorrhage intracranial,FAMILY DOLLAR,0
450,Hepatic vein thrombosis,RANBAXY,0
451,Hepatic vein thrombosis,NOVARTIS,0
452,Hepatic vein thrombosis,JOHNSON AND JOHNSON,0
453,Hepatic vein thrombosis,AUROBINDO,0
454,Hepatic vein thrombosis,APOTEX,0
455,Hepatic vein thrombosis,VIIV,0
456,Hepatic vein thrombosis,GLAXOSMITHKLINE,0
457,Hepatic vein thrombosis,MALLINCKRODT,0
458,Hepatic vein thrombosis,MYLAN,0
459,Hepatic vein thrombosis,PERRIGO,1
460,Hepatic vein thrombosis,B BRAUN,0
461,Hepatic vein thrombosis,FDA-CTU,0
462,Hepatic vein thrombosis,FRESENIUS KABI,0
463,Hepatic vein thrombosis,BAXTER,0
464,Hepatic vein thrombosis,GRANULES INDIA,0
465,Hepatic vein thrombosis,ASPIRO PHARMA,0
466,Hepatic vein thrombosis,LEO PHARM,0
467,Hepatic vein thrombosis,EMCURE,0
468,Hepatic vein thrombosis,DEXCEL,0
469,Hepatic vein thrombosis,TARO,0
470,Hepatic vein thrombosis,MARKSANS,0
471,Hepatic vein thrombosis,RISING PHARMACEUTICALS,0
472,Hepatic vein thrombosis,ZYDUS PHARM,0
473,Hepatic vein thrombosis,PRINSTON PHARMACEUTICAL,0
474,Hepatic vein thrombosis,CIPLA,0
475,Hepatic vein thrombosis,TEVA,0
476,Hepatic vein thrombosis,LEUCADIA PHARMACEUTICALS,0
477,Hepatic vein thrombosis,BIONPHARMA,0
478,Hepatic vein thrombosis,VALU MERCHANDISERS COMPANY,0
479,Hepatic vein thrombosis,FAMILY DOLLAR,0
480,Impaired healing,RANBAXY,0
481,Impaired healing,NOVARTIS,0
482,Impaired healing,JOHNSON AND JOHNSON,1
483,Impaired healing,AUROBINDO,0
484,Impaired healing,APOTEX,1
485,Impaired healing,VIIV,0
486,Impaired healing,GLAXOSMITHKLINE,1
487,Impaired healing,MALLINCKRODT,0
488,Impaired healing,MYLAN,1
489,Impaired healing,PERRIGO,1
490,Impaired healing,B BRAUN,0
491,Impaired healing,FDA-CTU,0
492,Impaired healing,FRESENIUS KABI,0
493,Impaired healing,BAXTER,0
494,Impaired healing,GRANULES INDIA,0
495,Impaired healing,ASPIRO PHARMA,0
496,Impaired healing,LEO PHARM,0
497,Impaired healing,EMCURE,0
498,Impaired healing,DEXCEL,0
499,Impaired healing,TARO,0
500,Impaired healing,MARKSANS,0
501,Impaired healing,RISING PHARMACEUTICALS,0
502,Impaired healing,ZYDUS PHARM,0
503,Impaired healing,PRINSTON PHARMACEUTICAL,0
504,Impaired healing,CIPLA,0
505,Impaired healing,TEVA,0
506,Impaired healing,LEUCADIA PHARMACEUTICALS,0
507,Impaired healing,BIONPHARMA,0
508,Impaired healing,VALU MERCHANDISERS COMPANY,0
509,Impaired healing,FAMILY DOLLAR,0
510,Pleural effusion,RANBAXY,2
511,Pleural effusion,NOVARTIS,5
512,Pleural effusion,JOHNSON AND JOHNSON,1
513,Pleural effusion,AUROBINDO,0
514,Pleural effusion,APOTEX,0
515,Pleural effusion,VIIV,0
516,Pleural effusion,GLAXOSMITHKLINE,1
517,Pleural effusion,MALLINCKRODT,0
518,Pleural effusion,MYLAN,0
519,Pleural effusion,PERRIGO,3
520,Pleural effusion,B BRAUN,1
521,Pleural effusion,FDA-CTU,0
522,Pleural effusion,FRESENIUS KABI,0
523,Pleural effusion,BAXTER,0
524,Pleural effusion,GRANULES INDIA,0
525,Pleural effusion,ASPIRO PHARMA,0
526,Pleural effusion,LEO PHARM,0
527,Pleural effusion,EMCURE,0
528,Pleural effusion,DEXCEL,0
529,Pleural effusion,TARO,0
530,Pleural effusion,MARKSANS,0
531,Pleural effusion,RISING PHARMACEUTICALS,0
532,Pleural effusion,ZYDUS PHARM,0
533,Pleural effusion,PRINSTON PHARMACEUTICAL,0
534,Pleural effusion,CIPLA,0
535,Pleural effusion,TEVA,0
536,Pleural effusion,LEUCADIA PHARMACEUTICALS,0
537,Pleural effusion,BIONPHARMA,0
538,Pleural effusion,VALU MERCHANDISERS COMPANY,0
539,Pleural effusion,FAMILY DOLLAR,0
540,Pulmonary embolism,RANBAXY,2
541,Pulmonary embolism,NOVARTIS,6
542,Pulmonary embolism,JOHNSON AND JOHNSON,3
543,Pulmonary embolism,AUROBINDO,3
544,Pulmonary embolism,APOTEX,0
545,Pulmonary embolism,VIIV,0
546,Pulmonary embolism,GLAXOSMITHKLINE,1
547,Pulmonary embolism,MALLINCKRODT,0
548,Pulmonary embolism,MYLAN,4
549,Pulmonary embolism,PERRIGO,1
550,Pulmonary embolism,B BRAUN,0
551,Pulmonary embolism,FDA-CTU,0
552,Pulmonary embolism,FRESENIUS KABI,0
553,Pulmonary embolism,BAXTER,0
554,Pulmonary embolism,GRANULES INDIA,0
555,Pulmonary embolism,ASPIRO PHARMA,0
556,Pulmonary embolism,LEO PHARM,0
557,Pulmonary embolism,EMCURE,0
558,Pulmonary embolism,DEXCEL,0
559,Pulmonary embolism,TARO,0
560,Pulmonary embolism,MARKSANS,0
561,Pulmonary embolism,RISING PHARMACEUTICALS,0
562,Pulmonary embolism,ZYDUS PHARM,0
563,Pulmonary embolism,PRINSTON PHARMACEUTICAL,0
564,Pulmonary embolism,CIPLA,0
565,Pulmonary embolism,TEVA,0
566,Pulmonary embolism,LEUCADIA PHARMACEUTICALS,0
567,Pulmonary embolism,BIONPHARMA,0
568,Pulmonary embolism,VALU MERCHANDISERS COMPANY,0
569,Pulmonary embolism,FAMILY DOLLAR,0
570,Pulmonary sepsis,RANBAXY,0
571,Pulmonary sepsis,NOVARTIS,0
572,Pulmonary sepsis,JOHNSON AND JOHNSON,0
573,Pulmonary sepsis,AUROBINDO,0
574,Pulmonary sepsis,APOTEX,0
575,Pulmonary sepsis,VIIV,0
576,Pulmonary sepsis,GLAXOSMITHKLINE,0
577,Pulmonary sepsis,MALLINCKRODT,0
578,Pulmonary sepsis,MYLAN,0
579,Pulmonary sepsis,PERRIGO,1
580,Pulmonary sepsis,B BRAUN,0
581,Pulmonary sepsis,FDA-CTU,0
582,Pulmonary sepsis,FRESENIUS KABI,0
583,Pulmonary sepsis,BAXTER,0
584,Pulmonary sepsis,GRANULES INDIA,0
585,Pulmonary sepsis,ASPIRO PHARMA,0
586,Pulmonary sepsis,LEO PHARM,0
587,Pulmonary sepsis,EMCURE,0
588,Pulmonary sepsis,DEXCEL,0
589,Pulmonary sepsis,TARO,0
590,Pulmonary sepsis,MARKSANS,0
591,Pulmonary sepsis,RISING PHARMACEUTICALS,0
592,Pulmonary sepsis,ZYDUS PHARM,0
593,Pulmonary sepsis,PRINSTON PHARMACEUTICAL,0
594,Pulmonary sepsis,CIPLA,0
595,Pulmonary sepsis,TEVA,0
596,Pulmonary sepsis,LEUCADIA PHARMACEUTICALS,0
597,Pulmonary sepsis,BIONPHARMA,0
598,Pulmonary sepsis,VALU MERCHANDISERS COMPANY,0
599,Pulmonary sepsis,FAMILY DOLLAR,0
600,Renal failure,RANBAXY,5
601,Renal failure,NOVARTIS,3
602,Renal failure,JOHNSON AND JOHNSON,7
603,Renal failure,AUROBINDO,6
604,Renal failure,APOTEX,0
605,Renal failure,VIIV,0
606,Renal failure,GLAXOSMITHKLINE,0
607,Renal failure,MALLINCKRODT,0
608,Renal failure,MYLAN,4
609,Renal failure,PERRIGO,4
610,Renal failure,B BRAUN,1
611,Renal failure,FDA-CTU,0
612,Renal failure,FRESENIUS KABI,1
613,Renal failure,BAXTER,1
614,Renal failure,GRANULES INDIA,0
615,Renal failure,ASPIRO PHARMA,0
616,Renal failure,LEO PHARM,0
617,Renal failure,EMCURE,0
618,Renal failure,DEXCEL,0
619,Renal failure,TARO,0
