,Adverse Event,Age_Grp,Count
101,Haemorrhage intracranial,13 to 18 years old,0
102,Haemorrhage intracranial,18 to 40,0
103,Haemorrhage intracranial,18 to 65 years old,1
104,Haemorrhage intracranial,over 65 years old,0
105,Hepatic vein thrombosis,Unknown Age,0
106,Hepatic vein thrombosis,under 1 year old,0
107,Hepatic vein thrombosis,1 to 13 years old,0
108,Hepatic vein thrombosis,13 to 18 years old,0
109,Hepatic vein thrombosis,18 to 40,1
110,Hepatic vein thrombosis,18 to 65 years old,0
111,Hepatic vein thrombosis,over 65 years old,0
112,Impaired healing,Unknown Age,2
113,Impaired healing,under 1 year old,0
114,Impaired healing,1 to 13 years old,0
115,Impaired healing,13 to 18 years old,0
116,Impaired healing,18 to 40,1
117,Impaired healing,18 to 65 years old,1
118,Impaired healing,over 65 years old,1
119,Pleural effusion,Unknown Age,1
120,Pleural effusion,under 1 year old,0
121,Pleural effusion,1 to 13 years old,0
122,Pleural effusion,13 to 18 years old,0
123,Pleural effusion,18 to 40,5
124,Pleural effusion,18 to 65 years old,5
125,Pleural effusion,over 65 years old,2
126,Pulmonary embolism,Unknown Age,1
127,Pulmonary embolism,under 1 year old,0
128,Pulmonary embolism,1 to 13 years old,0
129,Pulmonary embolism,13 to 18 years old,0
130,Pulmonary embolism,18 to 40,3
131,Pulmonary embolism,18 to 65 years old,7
132,Pulmonary embolism,over 65 years old,9
133,Pulmonary sepsis,Unknown Age,0
134,Pulmonary sepsis,under 1 year old,0
135,Pulmonary sepsis,1 to 13 years old,0
136,Pulmonary sepsis,13 to 18 years old,0
137,Pulmonary sepsis,18 to 40,1
138,Pulmonary sepsis,18 to 65 years old,0
139,Pulmonary sepsis,over 65 years old,0
140,Renal failure,Unknown Age,3
141,Renal failure,under 1 year old,0
142,Renal failure,1 to 13 years old,1
143,Renal failure,13 to 18 years old,0
144,Renal failure,18 to 40,6
145,Renal failure,18 to 65 years old,6
146,Renal failure,over 65 years old,16
147,Sinus disorder,Unknown Age,0
148,Sinus disorder,under 1 year old,0
149,Sinus disorder,1 to 13 years old,0
150,Sinus disorder,13 to 18 years old,0
151,Sinus disorder,18 to 40,1
152,Sinus disorder,18 to 65 years old,8
153,Sinus disorder,over 65 years old,1
154,Transplant dysfunction,Unknown Age,0
155,Transplant dysfunction,under 1 year old,0
156,Transplant dysfunction,1 to 13 years old,0
157,Transplant dysfunction,13 to 18 years old,0
158,Transplant dysfunction,18 to 40,1
159,Transplant dysfunction,18 to 65 years old,0
160,Transplant dysfunction,over 65 years old,0
161,Venoocclusive liver disease,Unknown Age,0
162,Venoocclusive liver disease,under 1 year old,0
163,Venoocclusive liver disease,1 to 13 years old,0
164,Venoocclusive liver disease,13 to 18 years old,0
165,Venoocclusive liver disease,18 to 40,1
166,Venoocclusive liver disease,18 to 65 years old,0
167,Venoocclusive liver disease,over 65 years old,0
168,Abscess,Unknown Age,0
169,Abscess,under 1 year old,0
170,Abscess,1 to 13 years old,0
171,Abscess,13 to 18 years old,0
172,Abscess,18 to 40,1
173,Abscess,18 to 65 years old,0
174,Abscess,over 65 years old,0
175,Hepatectomy,Unknown Age,0
176,Hepatectomy,under 1 year old,0
177,Hepatectomy,1 to 13 years old,0
178,Hepatectomy,13 to 18 years old,0
179,Hepatectomy,18 to 40,1
180,Hepatectomy,18 to 65 years old,0
181,Hepatectomy,over 65 years old,0
182,Abscess drainage,Unknown Age,0
183,Abscess drainage,under 1 year old,0
184,Abscess drainage,1 to 13 years old,0
185,Abscess drainage,13 to 18 years old,0
186,Abscess drainage,18 to 40,1
187,Abscess drainage,18 to 65 years old,0
188,Abscess drainage,over 65 years old,0
189,Liver abscess,Unknown Age,0
190,Liver abscess,under 1 year old,0
191,Liver abscess,1 to 13 years old,0
192,Liver abscess,13 to 18 years old,0
193,Liver abscess,18 to 40,1
194,Liver abscess,18 to 65 years old,0
195,Liver abscess,over 65 years old,0
196,Completed suicide,Unknown Age,5
197,Completed suicide,under 1 year old,0
198,Completed suicide,1 to 13 years old,1
199,Completed suicide,13 to 18 years old,9
200,Completed suicide,18 to 40,18
201,Completed suicide,18 to 65 years old,99
202,Completed suicide,over 65 years old,43
203,Acute kidney injury,Unknown Age,4
204,Acute kidney injury,under 1 year old,3
205,Acute kidney injury,1 to 13 years old,3
206,Acute kidney injury,13 to 18 years old,17
207,Acute kidney injury,18 to 40,37
208,Acute kidney injury,18 to 65 years old,43
209,Acute kidney injury,over 65 years old,50
210,Gastrointestinal haemorrhage,Unknown Age,3
211,Gastrointestinal haemorrhage,under 1 year old,0
212,Gastrointestinal haemorrhage,1 to 13 years old,0
213,Gastrointestinal haemorrhage,13 to 18 years old,0
214,Gastrointestinal haemorrhage,18 to 40,4
215,Gastrointestinal haemorrhage,18 to 65 years old,7
216,Gastrointestinal haemorrhage,over 65 years old,2
217,Hepatic encephalopathy,Unknown Age,29
218,Hepatic encephalopathy,under 1 year old,0
219,Hepatic encephalopathy,1 to 13 years old,0
220,Hepatic encephalopathy,13 to 18 years old,0
221,Hepatic encephalopathy,18 to 40,4
222,Hepatic encephalopathy,18 to 65 years old,1
223,Hepatic encephalopathy,over 65 years old,3
224,Hepatitis E,Unknown Age,0
225,Hepatitis E,under 1 year old,0
226,Hepatitis E,1 to 13 years old,0
227,Hepatitis E,13 to 18 years old,0
228,Hepatitis E,18 to 40,0
229,Hepatitis E,18 to 65 years old,0
230,Hepatitis E,over 65 years old,2
231,Hepatitis fulminant,Unknown Age,4
232,Hepatitis fulminant,under 1 year old,0
233,Hepatitis fulminant,1 to 13 years old,0
234,Hepatitis fulminant,13 to 18 years old,0
235,Hepatitis fulminant,18 to 40,1
236,Hepatitis fulminant,18 to 65 years old,21
237,Hepatitis fulminant,over 65 years old,3
238,Hypovolaemic shock,Unknown Age,0
239,Hypovolaemic shock,under 1 year old,0
240,Hypovolaemic shock,1 to 13 years old,0
241,Hypovolaemic shock,13 to 18 years old,0
242,Hypovolaemic shock,18 to 40,0
243,Hypovolaemic shock,18 to 65 years old,0
244,Hypovolaemic shock,over 65 years old,2
245,Jaundice,Unknown Age,1
246,Jaundice,under 1 year old,0
247,Jaundice,1 to 13 years old,4
248,Jaundice,13 to 18 years old,0
249,Jaundice,18 to 40,7
250,Jaundice,18 to 65 years old,2
251,Jaundice,over 65 years old,8
252,Pyrexia,Unknown Age,32
253,Pyrexia,under 1 year old,4
254,Pyrexia,1 to 13 years old,2
255,Pyrexia,13 to 18 years old,8
256,Pyrexia,18 to 40,22
257,Pyrexia,18 to 65 years old,39
258,Pyrexia,over 65 years old,25
259,Somnolence,Unknown Age,45
260,Somnolence,under 1 year old,0
261,Somnolence,1 to 13 years old,6
262,Somnolence,13 to 18 years old,21
263,Somnolence,18 to 40,34
264,Somnolence,18 to 65 years old,27
265,Somnolence,over 65 years old,23
266,Aphasia,Unknown Age,2
267,Aphasia,under 1 year old,1
268,Aphasia,1 to 13 years old,7
269,Aphasia,13 to 18 years old,0
270,Aphasia,18 to 40,0
271,Aphasia,18 to 65 years old,5
272,Aphasia,over 65 years old,0
273,Dependence,Unknown Age,4
274,Dependence,under 1 year old,1
275,Dependence,1 to 13 years old,7
276,Dependence,13 to 18 years old,0
277,Dependence,18 to 40,0
278,Dependence,18 to 65 years old,0
279,Dependence,over 65 years old,0
280,Developmental delay,Unknown Age,6
281,Developmental delay,under 1 year old,1
282,Developmental delay,1 to 13 years old,8
283,Developmental delay,13 to 18 years old,0
284,Developmental delay,18 to 40,1
285,Developmental delay,18 to 65 years old,0
286,Developmental delay,over 65 years old,0
287,Foetal exposure during pregnancy,Unknown Age,72
288,Foetal exposure during pregnancy,under 1 year old,10
289,Foetal exposure during pregnancy,1 to 13 years old,9
290,Foetal exposure during pregnancy,13 to 18 years old,1
291,Foetal exposure during pregnancy,18 to 40,6
292,Foetal exposure during pregnancy,18 to 65 years old,0
293,Foetal exposure during pregnancy,over 65 years old,0
294,Gait inability,Unknown Age,4
295,Gait inability,under 1 year old,1
296,Gait inability,1 to 13 years old,7
297,Gait inability,13 to 18 years old,0
298,Gait inability,18 to 40,4
299,Gait inability,18 to 65 years old,3
300,Gait inability,over 65 years old,5
301,Heart rate irregular,Unknown Age,2
302,Heart rate irregular,under 1 year old,1
303,Heart rate irregular,1 to 13 years old,7
304,Heart rate irregular,13 to 18 years old,0
305,Heart rate irregular,18 to 40,0
306,Heart rate irregular,18 to 65 years old,1
307,Heart rate irregular,over 65 years old,0
308,Hepatic function abnormal,Unknown Age,2
309,Hepatic function abnormal,under 1 year old,1
310,Hepatic function abnormal,1 to 13 years old,8
311,Hepatic function abnormal,13 to 18 years old,2
312,Hepatic function abnormal,18 to 40,1
313,Hepatic function abnormal,18 to 65 years old,0
314,Hepatic function abnormal,over 65 years old,1
315,Malaise,Unknown Age,27
316,Malaise,under 1 year old,1
317,Malaise,1 to 13 years old,18
318,Malaise,13 to 18 years old,0
319,Malaise,18 to 40,9
320,Malaise,18 to 65 years old,28
321,Malaise,over 65 years old,20
322,Premature baby,Unknown Age,19
323,Premature baby,under 1 year old,6
324,Premature baby,1 to 13 years old,7
325,Premature baby,13 to 18 years old,0
326,Premature baby,18 to 40,1
327,Premature baby,18 to 65 years old,0
328,Premature baby,over 65 years old,0
329,Tremor,Unknown Age,17
330,Tremor,under 1 year old,1
331,Tremor,1 to 13 years old,7
332,Tremor,13 to 18 years old,0
333,Tremor,18 to 40,7
334,Tremor,18 to 65 years old,12
335,Tremor,over 65 years old,6
336,Autoimmune haemolytic anaemia,Unknown Age,0
337,Autoimmune haemolytic anaemia,under 1 year old,0
338,Autoimmune haemolytic anaemia,1 to 13 years old,0
339,Autoimmune haemolytic anaemia,13 to 18 years old,0
340,Autoimmune haemolytic anaemia,18 to 40,1
341,Autoimmune haemolytic anaemia,18 to 65 years old,0
342,Autoimmune haemolytic anaemia,over 65 years old,0
343,Hypokalaemia,Unknown Age,1
344,Hypokalaemia,under 1 year old,0
345,Hypokalaemia,1 to 13 years old,1
346,Hypokalaemia,13 to 18 years old,1
347,Hypokalaemia,18 to 40,4
348,Hypokalaemia,18 to 65 years old,8
349,Hypokalaemia,over 65 years old,11
350,Muscular weakness,Unknown Age,3
351,Muscular weakness,under 1 year old,0
352,Muscular weakness,1 to 13 years old,1
353,Muscular weakness,13 to 18 years old,0
354,Muscular weakness,18 to 40,3
355,Muscular weakness,18 to 65 years old,11
356,Muscular weakness,over 65 years old,2
357,Myalgia,Unknown Age,8
358,Myalgia,under 1 year old,0
359,Myalgia,1 to 13 years old,0
360,Myalgia,13 to 18 years old,4
361,Myalgia,18 to 40,8
362,Myalgia,18 to 65 years old,5
363,Myalgia,over 65 years old,4
364,Renal tubular acidosis,Unknown Age,1
365,Renal tubular acidosis,under 1 year old,0
366,Renal tubular acidosis,1 to 13 years old,0
367,Renal tubular acidosis,13 to 18 years old,0
368,Renal tubular acidosis,18 to 40,1
369,Renal tubular acidosis,18 to 65 years old,3
370,Renal tubular acidosis,over 65 years old,0
371,Tubulointerstitial nephritis,Unknown Age,0
372,Tubulointerstitial nephritis,under 1 year old,0
373,Tubulointerstitial nephritis,1 to 13 years old,0
374,Tubulointerstitial nephritis,13 to 18 years old,1
375,Tubulointerstitial nephritis,18 to 40,4
376,Tubulointerstitial nephritis,18 to 65 years old,2
377,Tubulointerstitial nephritis,over 65 years old,6
378,Drug reaction with eosinophilia and systemic symptoms,Unknown Age,2
379,Drug reaction with eosinophilia and systemic symptoms,under 1 year old,0
380,Drug reaction with eosinophilia and systemic symptoms,1 to 13 years old,5
381,Drug reaction with eosinophilia and systemic symptoms,13 to 18 years old,0
382,Drug reaction with eosinophilia and systemic symptoms,18 to 40,4
383,Drug reaction with eosinophilia and systemic symptoms,18 to 65 years old,14
384,Drug reaction with eosinophilia and systemic symptoms,over 65 years old,11
385,Off label use,Unknown Age,56
386,Off label use,under 1 year old,4
387,Off label use,1 to 13 years old,8
388,Off label use,13 to 18 years old,11
389,Off label use,18 to 40,30
390,Off label use,18 to 65 years old,42
391,Off label use,over 65 years old,33
392,Product use in unapproved indication,Unknown Age,82
393,Product use in unapproved indication,under 1 year old,2
394,Product use in unapproved indication,1 to 13 years old,5
395,Product use in unapproved indication,13 to 18 years old,4
396,Product use in unapproved indication,18 to 40,12
397,Product use in unapproved indication,18 to 65 years old,47
398,Product use in unapproved indication,over 65 years old,29
399,Death,Unknown Age,28
400,Death,under 1 year old,0
401,Death,1 to 13 years old,2
402,Death,13 to 18 years old,0
403,Death,18 to 40,34
404,Death,18 to 65 years old,57
405,Death,over 65 years old,30
406,Glutathione decreased,Unknown Age,0
407,Glutathione decreased,under 1 year old,0
408,Glutathione decreased,1 to 13 years old,0
409,Glutathione decreased,13 to 18 years old,0
410,Glutathione decreased,18 to 40,3
411,Glutathione decreased,18 to 65 years old,0
412,Glutathione decreased,over 65 years old,1
413,Hydroxyprolinuria,Unknown Age,0
414,Hydroxyprolinuria,under 1 year old,0
415,Hydroxyprolinuria,1 to 13 years old,0
416,Hydroxyprolinuria,13 to 18 years old,0
417,Hydroxyprolinuria,18 to 40,0
418,Hydroxyprolinuria,18 to 65 years old,0
419,Hydroxyprolinuria,over 65 years old,2
420,Lactic acidosis,Unknown Age,1
421,Lactic acidosis,under 1 year old,0
422,Lactic acidosis,1 to 13 years old,0
423,Lactic acidosis,13 to 18 years old,0
424,Lactic acidosis,18 to 40,7
425,Lactic acidosis,18 to 65 years old,1
426,Lactic acidosis,over 65 years old,8
427,Mental status changes,Unknown Age,1
428,Mental status changes,under 1 year old,1
429,Mental status changes,1 to 13 years old,0
430,Mental status changes,13 to 18 years old,5
431,Mental status changes,18 to 40,10
432,Mental status changes,18 to 65 years old,6
433,Mental status changes,over 65 years old,5
434,Alanine aminotransferase increased,Unknown Age,7
435,Alanine aminotransferase increased,under 1 year old,1
436,Alanine aminotransferase increased,1 to 13 years old,3
437,Alanine aminotransferase increased,13 to 18 years old,7
438,Alanine aminotransferase increased,18 to 40,18
439,Alanine aminotransferase increased,18 to 65 years old,18
440,Alanine aminotransferase increased,over 65 years old,22
441,Anaemia,Unknown Age,5
442,Anaemia,under 1 year old,0
443,Anaemia,1 to 13 years old,0
444,Anaemia,13 to 18 years old,0
445,Anaemia,18 to 40,2
446,Anaemia,18 to 65 years old,2
447,Anaemia,over 65 years old,7
448,Autoimmune hepatitis,Unknown Age,0
449,Autoimmune hepatitis,under 1 year old,0
450,Autoimmune hepatitis,1 to 13 years old,0
451,Autoimmune hepatitis,13 to 18 years old,0
452,Autoimmune hepatitis,18 to 40,0
453,Autoimmune hepatitis,18 to 65 years old,1
454,Autoimmune hepatitis,over 65 years old,3
455,Blood creatine increased,Unknown Age,0
456,Blood creatine increased,under 1 year old,0
457,Blood creatine increased,1 to 13 years old,0
458,Blood creatine increased,13 to 18 years old,0
459,Blood creatine increased,18 to 40,0
460,Blood creatine increased,18 to 65 years old,1
461,Blood creatine increased,over 65 years old,1
462,Haemoglobin decreased,Unknown Age,0
463,Haemoglobin decreased,under 1 year old,0
464,Haemoglobin decreased,1 to 13 years old,0
465,Haemoglobin decreased,13 to 18 years old,0
466,Haemoglobin decreased,18 to 40,3
467,Haemoglobin decreased,18 to 65 years old,0
468,Haemoglobin decreased,over 65 years old,4
469,Accidental overdose,Unknown Age,28
470,Accidental overdose,under 1 year old,4
471,Accidental overdose,1 to 13 years old,11
472,Accidental overdose,13 to 18 years old,3
473,Accidental overdose,18 to 40,7
474,Accidental overdose,18 to 65 years old,6
475,Accidental overdose,over 65 years old,11
476,Drug abuse,Unknown Age,32
477,Drug abuse,under 1 year old,0
478,Drug abuse,1 to 13 years old,4
479,Drug abuse,13 to 18 years old,30
480,Drug abuse,18 to 40,85
481,Drug abuse,18 to 65 years old,59
482,Drug abuse,over 65 years old,5
483,Drug diversion,Unknown Age,1
484,Drug diversion,under 1 year old,0
485,Drug diversion,1 to 13 years old,0
486,Drug diversion,13 to 18 years old,0
487,Drug diversion,18 to 40,0
488,Drug diversion,18 to 65 years old,5
489,Drug diversion,over 65 years old,0
490,Dysarthria,Unknown Age,1
491,Dysarthria,under 1 year old,0
492,Dysarthria,1 to 13 years old,1
493,Dysarthria,13 to 18 years old,0
494,Dysarthria,18 to 40,1
495,Dysarthria,18 to 65 years old,9
496,Dysarthria,over 65 years old,1
497,Eye pain,Unknown Age,2
498,Eye pain,under 1 year old,0
499,Eye pain,1 to 13 years old,0
500,Eye pain,13 to 18 years old,3
501,Eye pain,18 to 40,3
502,Eye pain,18 to 65 years old,7
503,Eye pain,over 65 years old,0
504,Gait disturbance,Unknown Age,9
505,Gait disturbance,under 1 year old,0
506,Gait disturbance,1 to 13 years old,1
507,Gait disturbance,13 to 18 years old,0
508,Gait disturbance,18 to 40,3
509,Gait disturbance,18 to 65 years old,8
510,Gait disturbance,over 65 years old,5
511,Intentional product misuse,Unknown Age,8
512,Intentional product misuse,under 1 year old,0
513,Intentional product misuse,1 to 13 years old,1
514,Intentional product misuse,13 to 18 years old,7
515,Intentional product misuse,18 to 40,51
516,Intentional product misuse,18 to 65 years old,103
517,Intentional product misuse,over 65 years old,36
518,Prescription drug used without a prescription,Unknown Age,1
519,Prescription drug used without a prescription,under 1 year old,0
520,Prescription drug used without a prescription,1 to 13 years old,0
521,Prescription drug used without a prescription,13 to 18 years old,3
522,Prescription drug used without a prescription,18 to 40,2
523,Prescription drug used without a prescription,18 to 65 years old,5
524,Prescription drug used without a prescription,over 65 years old,0
525,Toxicity to various agents,Unknown Age,187
526,Toxicity to various agents,under 1 year old,7
527,Toxicity to various agents,1 to 13 years old,20
528,Toxicity to various agents,13 to 18 years old,54
529,Toxicity to various agents,18 to 40,217
530,Toxicity to various agents,18 to 65 years old,301
531,Toxicity to various agents,over 65 years old,197
532,Vision blurred,Unknown Age,6
533,Vision blurred,under 1 year old,0
534,Vision blurred,1 to 13 years old,0
535,Vision blurred,13 to 18 years old,0
536,Vision blurred,18 to 40,1
537,Vision blurred,18 to 65 years old,7
538,Vision blurred,over 65 years old,1
539,Alopecia,Unknown Age,5
540,Alopecia,under 1 year old,0
541,Alopecia,1 to 13 years old,0
542,Alopecia,13 to 18 years old,0
543,Alopecia,18 to 40,0
544,Alopecia,18 to 65 years old,16
545,Alopecia,over 65 years old,3
546,Angioedema,Unknown Age,10
547,Angioedema,under 1 year old,0
548,Angioedema,1 to 13 years old,3
549,Angioedema,13 to 18 years old,4
550,Angioedema,18 to 40,15
551,Angioedema,18 to 65 years old,16
552,Angioedema,over 65 years old,12
553,Arthralgia,Unknown Age,17
554,Arthralgia,under 1 year old,0
555,Arthralgia,1 to 13 years old,0
556,Arthralgia,13 to 18 years old,0
557,Arthralgia,18 to 40,9
558,Arthralgia,18 to 65 years old,27
559,Arthralgia,over 65 years old,10
560,Back pain,Unknown Age,14
561,Back pain,under 1 year old,0
562,Back pain,1 to 13 years old,0
563,Back pain,13 to 18 years old,1
564,Back pain,18 to 40,16
565,Back pain,18 to 65 years old,15
566,Back pain,over 65 years old,5
567,Chest pain,Unknown Age,5
568,Chest pain,under 1 year old,0
569,Chest pain,1 to 13 years old,0
570,Chest pain,13 to 18 years old,4
571,Chest pain,18 to 40,9
572,Chest pain,18 to 65 years old,11
573,Chest pain,over 65 years old,3
574,Drug hypersensitivity,Unknown Age,61
575,Drug hypersensitivity,under 1 year old,1
576,Drug hypersensitivity,1 to 13 years old,3
577,Drug hypersensitivity,13 to 18 years old,1
578,Drug hypersensitivity,18 to 40,9
579,Drug hypersensitivity,18 to 65 years old,22
580,Drug hypersensitivity,over 65 years old,9
581,Erythema,Unknown Age,14
582,Erythema,under 1 year old,0
583,Erythema,1 to 13 years old,0
584,Erythema,13 to 18 years old,0
585,Erythema,18 to 40,6
586,Erythema,18 to 65 years old,10
587,Erythema,over 65 years old,14
588,Eye swelling,Unknown Age,0
589,Eye swelling,under 1 year old,0
590,Eye swelling,1 to 13 years old,0
591,Eye swelling,13 to 18 years old,0
592,Eye swelling,18 to 40,1
593,Eye swelling,18 to 65 years old,3
594,Eye swelling,over 65 years old,0
595,Glossodynia,Unknown Age,2
596,Glossodynia,under 1 year old,0
597,Glossodynia,1 to 13 years old,0
598,Glossodynia,13 to 18 years old,0
599,Glossodynia,18 to 40,0
600,Glossodynia,18 to 65 years old,6
601,Glossodynia,over 65 years old,1
602,Headache,Unknown Age,54
603,Headache,under 1 year old,0
604,Headache,1 to 13 years old,0
605,Headache,13 to 18 years old,10
606,Headache,18 to 40,47
607,Headache,18 to 65 years old,55
608,Headache,over 65 years old,16
609,Hypoaesthesia,Unknown Age,9
610,Hypoaesthesia,under 1 year old,0
611,Hypoaesthesia,1 to 13 years old,1
612,Hypoaesthesia,13 to 18 years old,0
613,Hypoaesthesia,18 to 40,1
614,Hypoaesthesia,18 to 65 years old,9
615,Hypoaesthesia,over 65 years old,2
616,Neck pain,Unknown Age,4
617,Neck pain,under 1 year old,0
618,Neck pain,1 to 13 years old,0
619,Neck pain,13 to 18 years old,0
620,Neck pain,18 to 40,8
621,Neck pain,18 to 65 years old,6
622,Neck pain,over 65 years old,4
623,Nephrolithiasis,Unknown Age,2
624,Nephrolithiasis,under 1 year old,0
625,Nephrolithiasis,1 to 13 years old,0
626,Nephrolithiasis,13 to 18 years old,0
627,Nephrolithiasis,18 to 40,0
628,Nephrolithiasis,18 to 65 years old,4
629,Nephrolithiasis,over 65 years old,0
630,Oral herpes,Unknown Age,0
631,Oral herpes,under 1 year old,0
632,Oral herpes,1 to 13 years old,0
633,Oral herpes,13 to 18 years old,0
634,Oral herpes,18 to 40,0
635,Oral herpes,18 to 65 years old,1
636,Oral herpes,over 65 years old,1
637,Pain,Unknown Age,42
638,Pain,under 1 year old,0
639,Pain,1 to 13 years old,6
640,Pain,13 to 18 years old,1
641,Pain,18 to 40,16
642,Pain,18 to 65 years old,38
643,Pain,over 65 years old,21
644,Pain in extremity,Unknown Age,21
645,Pain in extremity,under 1 year old,0
646,Pain in extremity,1 to 13 years old,0
647,Pain in extremity,13 to 18 years old,2
648,Pain in extremity,18 to 40,4
649,Pain in extremity,18 to 65 years old,19
650,Pain in extremity,over 65 years old,7
651,Pallor,Unknown Age,0
652,Pallor,under 1 year old,0
653,Pallor,1 to 13 years old,7
654,Pallor,13 to 18 years old,1
655,Pallor,18 to 40,1
656,Pallor,18 to 65 years old,1
657,Pallor,over 65 years old,0
658,Paraesthesia,Unknown Age,11
659,Paraesthesia,under 1 year old,0
660,Paraesthesia,1 to 13 years old,0
661,Paraesthesia,13 to 18 years old,2
662,Paraesthesia,18 to 40,2
663,Paraesthesia,18 to 65 years old,9
664,Paraesthesia,over 65 years old,1
665,Pruritus,Unknown Age,8
666,Pruritus,under 1 year old,0
667,Pruritus,1 to 13 years old,1
668,Pruritus,13 to 18 years old,4
669,Pruritus,18 to 40,21
670,Pruritus,18 to 65 years old,10
671,Pruritus,over 65 years old,18
672,Renal pain,Unknown Age,1
673,Renal pain,under 1 year old,0
674,Renal pain,1 to 13 years old,0
675,Renal pain,13 to 18 years old,0
676,Renal pain,18 to 40,0
677,Renal pain,18 to 65 years old,2
678,Renal pain,over 65 years old,0
679,Swelling,Unknown Age,9
680,Swelling,under 1 year old,3
681,Swelling,1 to 13 years old,1
682,Swelling,13 to 18 years old,1
683,Swelling,18 to 40,3
684,Swelling,18 to 65 years old,16
685,Swelling,over 65 years old,2
686,Swelling face,Unknown Age,2
687,Swelling face,under 1 year old,0
688,Swelling face,1 to 13 years old,1
689,Swelling face,13 to 18 years old,0
690,Swelling face,18 to 40,5
691,Swelling face,18 to 65 years old,3
692,Swelling face,over 65 years old,5
